filler freeze: 10000 draws, 0 mismatches without options, 0 with options (both must be 0)

config today (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  5+3  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.4%, >=6s 5.6% (forced 5.4%)
  5+3  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 9.7%, >=6s 5.4% (forced 5.1%)

config requested (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  1+0   800: flag median 54 p10 48, flagged<=150 100.0%, first40<=30ms n/a, moves1-5 <1.2s 15.3%, >=6s 0.0% (forced 0.0%)
  1+0  1200: flag median 54 p10 48, flagged<=150 100.0%, first40<=30ms 50.0%, moves1-5 <1.2s 15.6%, >=6s 0.0% (forced 0.0%)
  1+0  1350: flag median 48 p10 44, flagged<=150 100.0%, first40<=30ms 62.7%, moves1-5 <1.2s 13.0%, >=6s 0.0% (forced 0.0%)
  1+0  1650: flag median 48 p10 44, flagged<=150 100.0%, first40<=30ms 64.7%, moves1-5 <1.2s 15.8%, >=6s 0.0% (forced 0.0%)
  1+0  1900: flag median 46 p10 42, flagged<=150 100.0%, first40<=30ms 69.6%, moves1-5 <1.2s 13.1%, >=6s 0.0% (forced 0.0%)
  1+0  2200: flag median 43 p10 40, flagged<=150 100.0%, first40<=30ms 76.2%, moves1-5 <1.2s 14.9%, >=6s 0.0% (forced 0.0%)
  1+0  2400: flag median 43 p10 40, flagged<=150 100.0%, first40<=30ms 76.3%, moves1-5 <1.2s 14.3%, >=6s 0.0% (forced 0.0%)
  2+1   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 17.4%, >=6s 0.0% (forced 0.0%)
  2+1  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 16.1%, >=6s 0.0% (forced 0.0%)
  2+1  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 11.5%, >=6s 0.0% (forced 0.0%)
  2+1  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.2%, moves1-5 <1.2s 15.8%, >=6s 0.0% (forced 0.0%)
  2+1  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 3.4%, moves1-5 <1.2s 12.0%, >=6s 0.0% (forced 0.0%)
  2+1  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 23.0%, moves1-5 <1.2s 14.8%, >=6s 0.0% (forced 0.0%)
  2+1  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 23.3%, moves1-5 <1.2s 14.8%, >=6s 0.0% (forced 0.0%)
  3+0   800: flag median 117 p10 96.9, flagged<=150 99.8%, first40<=30ms n/a, moves1-5 <1.2s 17.9%, >=6s 0.0% (forced 0.0%)
  3+0  1200: flag median 109.5 p10 96, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.7%, >=6s 0.0% (forced 0.0%)
  3+0  1350: flag median 92 p10 82, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.0%, >=6s 0.0% (forced 0.0%)
  3+0  1650: flag median 90 p10 80, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 15.3%, >=6s 0.0% (forced 0.0%)
  3+0  1900: flag median 81 p10 74, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.7%, >=6s 0.0% (forced 0.0%)
  3+0  2200: flag median 70 p10 65, flagged<=150 100.0%, first40<=30ms 7.8%, moves1-5 <1.2s 13.8%, >=6s 0.0% (forced 0.0%)
  3+0  2400: flag median 70 p10 65, flagged<=150 100.0%, first40<=30ms 7.4%, moves1-5 <1.2s 15.4%, >=6s 0.0% (forced 0.0%)
  3+2   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 16.6%, >=6s 0.0% (forced 0.0%)
  3+2  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 14.9%, >=6s 0.0% (forced 0.0%)
  3+2  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 11.8%, >=6s 0.0% (forced 0.0%)
  3+2  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 14.2%, >=6s 0.0% (forced 0.0%)
  3+2  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.7%, >=6s 0.0% (forced 0.0%)
  3+2  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 15.2%, >=6s 0.0% (forced 0.0%)
  3+2  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 15.8%, >=6s 0.0% (forced 0.0%)
  5+0   800: flag median 126 p10 104, flagged<=150 83.8%, first40<=30ms n/a, moves1-5 <1.2s 11.2%, >=6s 6.1% (forced 5.9%)
  5+0  1200: flag median 122 p10 104, flagged<=150 89.8%, first40<=30ms 0.0%, moves1-5 <1.2s 11.2%, >=6s 6.3% (forced 6.4%)
  5+0  1350: flag median 106 p10 93, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 8.7%, >=6s 6.1% (forced 6.2%)
  5+0  1650: flag median 103 p10 90, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.8%, >=6s 5.7% (forced 5.2%)
  5+0  1900: flag median 96 p10 86, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.8%, >=6s 5.7% (forced 5.4%)
  5+0  2200: flag median 85 p10 77, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 9.4%, >=6s 5.2% (forced 4.5%)
  5+0  2400: flag median 84 p10 77, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.4%, >=6s 5.2% (forced 5.8%)
  5+3   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 11.6%, >=6s 8.2% (forced 7.8%)
  5+3  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.7%, >=6s 8.5% (forced 8.3%)
  5+3  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 9.1%, >=6s 8.6% (forced 8.6%)
  5+3  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 12.7%, >=6s 7.9% (forced 8.6%)
  5+3  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.2%, >=6s 7.8% (forced 7.6%)
  5+3  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.7%, >=6s 6.3% (forced 6.5%)
  5+3  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 9.8%, >=6s 6.0% (forced 5.7%)
wrote /home/user/nerfchess/docs/polish-pass/evidence/HB/HB1/before-clock.json
