filler freeze: 10000 draws, 0 mismatches without options, 0 with options (both must be 0)

config today (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  5+3  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 10.7%, >=6s 3.2% (forced 3.1%)
  5+3  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 11.8%, >=6s 3.0% (forced 3.1%)

config requested (rtt 500ms, alarm 250-300ms, 400 runs per cell):
  1+0   800: flag median 155 p10 145, flagged<=150 36.3%, first40<=30ms n/a, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1200: flag median 147 p10 140, flagged<=150 62.3%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1350: flag median 124 p10 120, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1650: flag median 119 p10 117, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  1900: flag median 117 p10 115, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  2200: flag median 118 p10 115, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  1+0  2400: flag median 117 p10 115, flagged<=150 100.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 96.0%, >=6s 0.0% (forced 0.0%)
  2+1  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 96.2%, >=6s 0.0% (forced 0.0%)
  2+1  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  2+1  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+0   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 94.7%, >=6s 0.0% (forced 0.0%)
  3+0  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 96.5%, >=6s 0.0% (forced 0.0%)
  3+0  1350: flag median 193 p10 179, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+0  1650: flag median 189 p10 175, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+0  1900: flag median 178 p10 170, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+0  2200: flag median 163 p10 159, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+0  2400: flag median 163 p10 159, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+2   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 95.7%, >=6s 0.0% (forced 0.0%)
  3+2  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 96.2%, >=6s 0.0% (forced 0.0%)
  3+2  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+2  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+2  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+2  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  3+2  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 0.0% (forced 0.0%)
  5+0   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 95.8%, >=6s 2.7% (forced 0.0%)
  5+0  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 95.0%, >=6s 2.8% (forced 0.0%)
  5+0  1350: flag median 188.5 p10 177.9, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 2.6% (forced 0.0%)
  5+0  1650: flag median 186.5 p10 173, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 2.2% (forced 0.0%)
  5+0  1900: flag median 180.5 p10 169, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 2.0% (forced 0.0%)
  5+0  2200: flag median 173 p10 162.9, flagged<=150 0.3%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 1.2% (forced 0.0%)
  5+0  2400: flag median 173 p10 163, flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 1.2% (forced 0.0%)
  5+3   800: flag never (>200), flagged<=150 0.0%, first40<=30ms n/a, moves1-5 <1.2s 96.3%, >=6s 9.7% (forced 0.0%)
  5+3  1200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 95.0%, >=6s 10.1% (forced 0.0%)
  5+3  1350: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 9.6% (forced 0.0%)
  5+3  1650: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 8.3% (forced 0.0%)
  5+3  1900: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 8.0% (forced 0.0%)
  5+3  2200: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 4.4% (forced 0.0%)
  5+3  2400: flag never (>200), flagged<=150 0.0%, first40<=30ms 0.0%, moves1-5 <1.2s 100.0%, >=6s 4.5% (forced 0.0%)
wrote /home/user/nerfchess/docs/polish-pass/evidence/HB/HB1/after-clock.json
